epoch,train_loss,val_loss,val_miou,lr,iou_Background,iou_Building-Flooded,iou_Building-Non-Flooded,iou_Road-Flooded,iou_Road-Non-Flooded,iou_Water,iou_Tree,iou_Vehicle,iou_Pool,iou_Grass
1,0.34465742604338007,0.36652763982613884,0.10661956981930416,0.0009045084971874737,0.000611894007306546,0.00015273023745976388,0.0005112643702886999,0.0,0.0027989770751446486,0.3608733117580414,0.09368360787630081,0.0,0.0,0.6075639128684998
2,0.17205370544529647,0.15007657408714295,0.1626865046813691,0.0006545084971874737,0.0004011590499430895,1.0146310160052963e-05,0.014177604578435421,0.0,0.1580108106136322,0.33106520771980286,0.3945104479789734,0.0,0.0,0.7286896705627441
3,0.15923977262682196,0.1523281211654345,0.1955534911248833,0.00034549150281252633,0.0005476535297930241,0.0,0.03858757019042969,0.0,0.43107670545578003,0.4301334619522095,0.3587436378002167,0.0,0.0,0.696445882320404
4,0.15033308636370324,0.1396795004606247,0.24765172961051576,9.549150281252633e-05,0.0002658727462403476,0.0,0.28684747219085693,0.0,0.44836798310279846,0.42988476157188416,0.5333077907562256,0.0,0.0,0.7778434157371521
5,0.14314032383531117,0.12922905335823695,0.25733909841801506,0.0,0.0003335412766318768,0.0,0.2885691821575165,0.0,0.46026432514190674,0.4349902868270874,0.5858635306358337,0.0,0.0,0.8033701181411743
